latitude,longitude,altitude,geometry,HID,Type,Kodomo,Name,Label,AgeS,AgeE,Full,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Add1,Add2,TEL,FAX,Owner,Ownership,Proof,Shanai,Y,X,url,Vacancy,VacancyDate
35.652889,139.335726,,Point,1001,認可保育所,,八王子市立子安保育園,八王子市立子安保育園,1歳,,85,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19：00まで,,Y,,,八王子市,子安町四丁目31ｰ1,,,八王子市,公,,,35.652889,139.335726,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001284.html,,
35.658824,139.310088,,Point,1002,認可保育所,,八王子市立千人保育園,八王子市立千人保育園,1歳,,100,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19：00まで,,Y,,,八王子市,千人町三丁目5ｰ17,,,八王子市,公,,,35.658824,139.310088,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001209.html,,
35.643057,139.274417,,Point,1003,認可保育所,,八王子市立高尾保育園,八王子市立高尾保育園,1歳,,95,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19：00まで,,,,,八王子市,高尾町1737,,,八王子市,公,,,35.643057,139.274417,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001288.html,,
35.671179,139.254426,,Point,1004,認可保育所,,八王子市立恩方保育園,八王子市立恩方保育園,1歳,,95,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19：00まで,,,,,八王子市,下恩方町1314,,,八王子市,公,,,35.671179,139.254426,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001278.html,,
35.669308,139.346013,,Point,1005,認可保育所,,八王子市立富士見台保育園,八王子市立富士見台保育園,1歳,,60,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19：00まで,,,,,八王子市,富士見町21ｰ1,,,八王子市,公,,,35.669308,139.346013,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001253.html,,
35.674221,139.321064,,Point,1006,認可保育所,,八王子市立津久田保育園,八王子市立津久田保育園,産休明け,,100,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19：00まで,,Y,,,八王子市,中野山王三丁目22-3,,,八王子市,公,,,35.674221,139.321064,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001275.html,,
35.6562,139.294711,,Point,1007,認可保育所,,八王子市立長房中央保育園,八王子市立長房中央保育園,産休明け,,100,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19：00まで,,,,,八王子市,長房町588 ,,,八王子市,公,,,35.6562,139.294711,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001256.html,,
35.650003,139.35407,,Point,1008,認可保育所,,八王子市立北野保育園,八王子市立北野保育園,1歳,,100,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19：00まで,,,,,八王子市,北野町570ｰ12,,,八王子市,公,,,35.650003,139.35407,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001254.html,,
35.670583,139.289338,,Point,1009,認可保育所,,八王子市立元八王子保育園,八王子市立元八王子保育園,1歳,,100,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19：00まで,,Y,,,八王子市,弐分方町739,,,八王子市,公,,,35.670583,139.289338,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001281.html,,
35.63116,139.3239,,Point,1010,認可保育所,,八王子市立みなみ野保育園,八王子市立みなみ野保育園,産休明け,,100,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19：30まで,,Y,,,八王子市,みなみ野六丁目1ｰ1,,,八王子市,公,,,35.63116,139.3239,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001255.html,,
